epoch,train_mlogloss,test_mlogloss
1,0.5335066185466879,0.5393182552425546
2,0.4416004946189212,0.44573018445451607
3,0.3789680540378651,0.38283808378746426
4,0.33108517879658805,0.3348075586800759
5,0.2919966144614354,0.2955055395518403
6,0.25892923767716697,0.2622993200439872
7,0.23099125908209095,0.23420046373983325
8,0.20701197711244748,0.21013370940157464
9,0.1861881881414669,0.18917692935774522
10,0.16792965728981682,0.17081694902547886
11,0.15183280920144696,0.1546479759568652
12,0.1375588533277848,0.14031063184085713
13,0.12490628842844446,0.12754847674873773
14,0.11365513985374093,0.11622035817101423
15,0.10358126699257857,0.10607446486043894
16,0.09456347735717852,0.09698185677462126
17,0.08640474038959589,0.08876358090053937
18,0.07909199786488136,0.08140134314048622
19,0.07247045777677248,0.07473197060116261
20,0.06643783108781892,0.06863654569591464
21,0.06106204014064293,0.0632870824985107
22,0.05621408655976139,0.05841460161463576
23,0.05180672345858818,0.05399766819238984
24,0.0478093846148534,0.04998804561005072
25,0.0441941089212519,0.04637676657112991
26,0.04093273812849409,0.04312281497413237
27,0.03798771199935488,0.04016400330348108
28,0.03538185310594295,0.03757106177822288
29,0.03299933908079652,0.03518415824928683
30,0.0308160899716117,0.03298767231492643
31,0.02882108178844874,0.03100369278858989
32,0.02700346056041282,0.02921021069391972
33,0.02534857013731402,0.02758305273805529
34,0.02385265584197937,0.02609369065274626
35,0.02247541762187221,0.0247238965345027
36,0.02121504104352741,0.02347784638700242
37,0.02008852932129786,0.02234648455301768
38,0.0190550584093911,0.02129912756144888
39,0.01808288080934244,0.02033189144952101
40,0.01720699788911477,0.01946092644274947
41,0.0163783311669436,0.01863794061380734
42,0.01562826954918595,0.01790493997964403
43,0.01494731990143394,0.01722223058084399
44,0.01430705978003452,0.01661142256441766
45,0.01370166216837385,0.01601868321613564
46,0.0131613781924751,0.01549166246335505
47,0.01264800095300396,0.01500640187523628
48,0.01218018167383406,0.01456669707237201
49,0.01174331148421206,0.01415914260773193
50,0.01134681976271068,0.01377725279768716
51,0.01098175236446271,0.0134448282232716
52,0.01061273170262388,0.01308913736508175
53,0.01029721300339888,0.01278320409462383
54,0.00997371239902535,0.01247952386527354
55,0.00969506049844353,0.01222901204458087
56,0.00942807170287729,0.01197500161230973
57,0.00916371172019022,0.01172969472682702
58,0.00890390446272703,0.01147925786884024
59,0.00868498421773424,0.01128182259125927
60,0.00845506447266635,0.01106577128063143
61,0.00823727788668709,0.01086438099322977
62,0.00805819034865943,0.01070827603796333
63,0.00785401651032007,0.01053408299935898
64,0.00767231444942647,0.01037009646317103
65,0.00748767208873712,0.01019288563732141
66,0.00727000445194489,0.00998740525902459
67,0.00712820865667793,0.00986427432451765
68,0.0069378260184318,0.00968934982115831
69,0.00680189630439573,0.00955567454440927
70,0.00667313238358691,0.00944493627289375
71,0.00652520827348486,0.00931392238277148
72,0.0063935137902388,0.00919559202415869
73,0.0062667665236209,0.00907898564183464
74,0.00612647257990305,0.00894862910105413
75,0.00602139487279508,0.00887338465171238
76,0.00591891224186139,0.00879148514778749
77,0.00580156216437258,0.00870624299567012
78,0.00571096334571043,0.00864523512576206
79,0.00561941243062624,0.00857929252139651
80,0.00553262188180042,0.00851499329500244
81,0.00542431635696236,0.0084467358535877
82,0.00533924053238804,0.00838543465710265
83,0.00524944767334135,0.0083202338366808
84,0.00515431879812591,0.0082503864264968
85,0.00507606067599191,0.00818979528230671
86,0.00499716768831197,0.00813696322976238
87,0.00493462900852226,0.00809412233529546
88,0.00486086795294143,0.00804565611225764
89,0.00480551252998404,0.00801048313700481
90,0.00473931171401477,0.00795663997665923
91,0.00468845816101318,0.00792081585920116
92,0.00462332586212888,0.00787210964543634
93,0.00456705272825719,0.0078298809349972
94,0.0045186933809382,0.00779348770102186
95,0.00446863971090579,0.00775191041127116
96,0.00442326070450501,0.00772818961312311
97,0.00437668202697508,0.00769808555309292
98,0.0043280504891089,0.00765767612744218
99,0.00427642433975749,0.00762983730635546
100,0.00423863164255336,0.00760693846765503
