epoch,train_mlogloss,test_mlogloss
1,0.3899889647558919,0.3927751604616642
2,0.33367255123144157,0.33689233822003006
3,0.2936319066828634,0.297320703127111
4,0.26242441358747176,0.26646023683374126
5,0.23700986147415554,0.24132965716471275
6,0.21570949731993072,0.2203960933064421
7,0.19755725196268306,0.2024080584347248
8,0.18198130307752486,0.18719215379282833
9,0.16837587735504447,0.17395634307339788
10,0.15641563298941807,0.16224510688738278
11,0.1459278501376183,0.15204249921937785
12,0.13657504347271684,0.14303005440440028
13,0.12830195426392943,0.13499838502798228
14,0.12088580792714682,0.12782781329595794
15,0.11426018639374129,0.12143767441343516
16,0.10833721246408286,0.11576614985739192
17,0.10294529770976205,0.11064143528634061
18,0.09813767896471659,0.10609836287035918
19,0.09383538551236625,0.10196020358847455
20,0.08992092243238727,0.09826036069775
21,0.08633933236086835,0.09490466282144189
22,0.08311472464044631,0.0918683414971456
23,0.08011852590824282,0.08913998199681131
24,0.07743396655506908,0.08666409903143843
25,0.07499499073713048,0.08448092893216139
26,0.07278512531035508,0.0825035786149092
27,0.07074579495382992,0.0806745983012952
28,0.06886526812185016,0.07906135563055675
29,0.06719311085525045,0.07755552024883218
30,0.06564747299891499,0.07621286008503132
31,0.06419982426021999,0.07497963925738198
32,0.06287372325599741,0.07381387224354936
33,0.06162767333737211,0.07286066645841735
34,0.0604886740749145,0.07184122771502006
35,0.05943742644002425,0.07099768059630879
36,0.05848203186781564,0.07028191970424572
37,0.05756654728153891,0.06955597186979139
38,0.0567222297381024,0.06885830726251395
39,0.05590062751693789,0.06832399271740966
40,0.0551382583823581,0.06779222024352445
41,0.05444527042069004,0.06733580291971641
42,0.05377276815936124,0.06688839705940336
43,0.0530634686525004,0.06651518361988322
44,0.05245236319994324,0.06620872938038277
45,0.05186003592017847,0.06582534888420681
46,0.05132695827839457,0.06552225441651535
47,0.05075992574759407,0.06515965813763129
48,0.05025770801395346,0.0648832997973077
49,0.0498258532389112,0.06469929313824589
50,0.04931197073353012,0.06446658319941587
51,0.04887722381728603,0.06432769561865037
52,0.04845677408110128,0.06413874914165839
53,0.04804962121505046,0.0639411859492005
54,0.04762431540162447,0.06378418087834628
55,0.04721349465630272,0.0636277363061478
56,0.04686098137187972,0.06357199417376735
57,0.04649362552324664,0.06338321774700792
58,0.04617342682679451,0.06324749500759451
59,0.04586063595696365,0.06314937246700235
60,0.04557166940234288,0.0630897874638346
61,0.04523466432060006,0.06304593204694296
62,0.04490908544621507,0.06295881814276799
63,0.04460551993604233,0.0628693133557584
64,0.04431435799222783,0.06290304436187823
65,0.04403068859993486,0.06283279406260893
66,0.04376839898103577,0.06280512335971919
67,0.04351494772615804,0.06276854034649659
68,0.04326381679181127,0.06271816647962017
69,0.04292547712827994,0.06265989118603223
70,0.04258940619044449,0.06264151888635387
71,0.04237626019491336,0.06264052917027826
72,0.04213666339001346,0.062617304561171
73,0.04184337368714314,0.06262167066188219
74,0.04166701317407384,0.06255545541714795
75,0.04144925603927033,0.06255807021808808
76,0.0411439325559225,0.06244068899341255
77,0.04088436401893789,0.06239939784237322
78,0.04067956058855179,0.06232584474564767
79,0.04047078065711121,0.06229889193196747
80,0.04018372750446668,0.0622687882954142
81,0.03995831357675463,0.06230909369787756
82,0.03974988723450596,0.06230039523499181
83,0.03945841035258538,0.06227275251622329
84,0.0392278881203548,0.06217526697400414
85,0.03901735787616356,0.06216974367880175
86,0.03882087646179921,0.062155315102517
87,0.03858725498517812,0.06212866980003249
88,0.03833087102606191,0.06213149349730126
89,0.03813407334076537,0.06213844678212748
90,0.03787474114055348,0.06209021035103979
91,0.03763704945033364,0.06205254915066932
92,0.03744623488925854,0.06200979719928607
93,0.03726241176008308,0.06195501889072208
94,0.0371121963558442,0.06198096927615886
95,0.03690225617069601,0.06199613332152543
96,0.03674552402285514,0.06201398536780228
97,0.03656726002652318,0.06201230502330479
98,0.03636231459300968,0.06196371979813618
99,0.03615113839489607,0.06203008278702676
100,0.03599030517874165,0.06201937946210773
